Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
Vitten,Vitten,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Jillon,Ceridwyn Teulu,,Jillon (NPC),,5,Svetograd,"5,160.00",Sajuanelhi,"9,603.75",Dinasygan,"3,831.25",Adelaar Legioen,"8,508.50",United Federation of Malam States,"3,870.00",,,,,,,,,,,,,,,,,,,,,"30,973.50",1.25,"38,716.88",1,1,1,5
Grand Nimbusia,Grand Nimbusia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Paloma,Saulka,7,Iskura,"2,000.00",Imperial Theocracy of Borbenska,"2,100.00",Pavellion,"4,785.63",Kingdom of Aeornia,"5,264.19",Poloma,"2,186.25",Kingdom of Járnfjall,"5,950.00",,,Imperial Theocracy of Borbenska,,,,,,,,,,,,,,,,"22,286.06",1.25,"27,857.58",0,0,2,6
Second State of Los,Second State of Los,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Ardungual,,,Stryaxina,,7,Tsûa Lâng,"6,998.75",Kingdom of Ardungual,"6,545.00",Stryaxina,"4,006.25",Shiny Taking,"3,475.00",Commonwealth of Gonaria,"4,042.50",,,,,,,,,,,,,,,,,,,,,"25,067.50",0.95,"23,814.13",1,0,1,5
Unigol,Unigol,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Aisling,,,,,8,The Aislings,"6,998.75",Arcadia,"4,730.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,728.75",0.95,"11,142.31",1,0,0,2
The Kingdom of Lunar,The Kingdom of Lunar,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Mercati Emporium,,Him Maliataki,,6,Mercati Emporium,"6,360.00",Hui Kai,"11,231.83",Snow Dominion,"5,301.00",City State of Kido,"9,313.56",The Statute of Order,"4,462.50",,,,,,,,,,,,,,,,,,,,,"36,668.89",1.05,"38,502.33",0,1,1,5
The Republic of Alyvosk,The Republic of Alyvosk,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Malekate of Opolexion, Jasper, The Awakened",,,,,9,Kingdom of Jasper,"5,948.25",Ceavia,"3,337.50",Malekate of Opolexion,"2,650.00",Tautaspils,"2,782.50",The Gilded City,"4,709.38",The Grand City of Smmeíaia,"5,153.75",Queendom of Edithia,"2,650.00",Zastita,"2,800.00",,,,,,,,,,,,,,,"30,031.38",0.95,"28,529.81",3,0,0,8
Drionn Galith,Drionn Galith,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Seelern State,,Glasrhaidd,Svetograd,9,The Seelern State,"4,462.50",Glasrhaidd,"3,368.75",United Federation of Malam States,"3,870.00",Commonwealth of Gonaria,"4,042.50",Svetograd,"5,160.00",Etolian Πολιτεία,"1,200.00",Zuntirar,"2,000.00",Chernkov,"2,356.41",Herzogtum Enzla,"4,042.50",,,,,,,,,,,,,"30,502.66",0.95,"28,977.52",0,1,2,9
Mach Republic,Mach Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,The Trade Families of Kemakmura,"12,369.00",Kingdom of Gallacia,"5,652.50",The Kingdom of Hemia,"2,790.00",Kinh Nam City-State,"9,313.56",The Animal Kingdom,"4,657.50",Imperial City of Soria,"4,049.38",Arcadia,"4,730.00",,,,,,,,,,,,,,,,,"43,561.94",1.25,"54,452.42",0,0,0,7
The Ruzgaristan Enclave,The Ruzgaristan Enclave,Meadoia Dynasty,,,,,,,,Mercantile,1.00,80.13%,80.13%,50.07%,50.07%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Meadotukian,Opulenian,The State of Iskura,,,,,9,Tuk Dynasty,"3,047.50",Krosen Dynasty,"3,047.50",Meadoia Dynasty,"3,710.00",The State of Iskura,"4,049.38",Pavellion,"4,785.63",,,,,,,,,,,,,,,,,,,,,"18,640.00",1.00,"18,640.00",1,0,0,5
Kingdom of Ardungual,Kingdom of Ardungual,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,Pólitonskóron,"7,896.28",Carcukhanate,"5,950.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,846.28",0.95,"13,153.97",0,0,0,2
Kingdom of Kahtet,Kingdom of Kahtet,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Svetograd,Svetograd,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Drionn Galith,,11,Adelaar Legioen,"8,508.50",Etolian Πολιτεία,"1,200.00",Goldmongers,"3,222.00",Yeotang,"4,687.50",Terrum Aetheri,"5,980.00",Herzogtum Enzla,"4,042.50",Drionn Galith,"4,730.00",Republic o. Zuntirar,"9,933.00",The Teutā Erwā,"2,958.05",Vitten,"3,368.75",Ceridwyn Teulu,"5,053.75",,,,,,,,,"53,684.05",0.75,"40,263.04",0,0,1,11
The Ignate of Manineira,The Ignate of Manineira,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
The Kingdom of Zahar,The Kingdom of Zahar,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,I'hamon,Free City of Zephyrabad,Carcukhanate,The Gavi’ Kingdom,,6,Kingdom of the Aurore,"6,370.00",Free City of Zephyrabad,"9,718.50",Republic of Nymaró,"6,468.75",I’Hamon,"2,915.00",The Gavi’ Kingdom,"2,504.25",Jubal'on,"3,368.75",,,,,,,,,,,,,,,,,,,"31,345.25",1.25,"39,181.56",1,2,1,6
Unified Republic of Kaiarau,Unified Republic of Kaiarau,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"The Amerian Republic, High City of Tirsil",City State of Kido,,Free City of Zephon,Jään Herruus,6,Luminus,"3,062.50",Jään Herruus,"3,962.50",City State of Kido,"9,313.56",The Amerian Republic,"8,466.88",Free City of Zephon,"10,947.60",The Kingdom of Lunar,"7,387.50",,,,,,,,,,,,,,,,,,,"43,140.54",1.05,"45,297.56",2,1,2,6
The Animal Kingdom,The Animal Kingdom,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Mimgrond,Kingdom of Mimgrond,,,,5,Mach Republic,"5,390.00",Kingdom of Mimgrond,"7,140.00",The Aislings,"6,998.75",Scientarium,"13,156.00",Iidunn,"3,225.00",Diogen,,,,,,,,,,,,,,,,,,,,"35,909.75",1.25,"44,887.19",1,1,0,5
The Kingdom of Zakheira,The Kingdom of Zakheira,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Kingdom of the Kettlelands,Kingdom of the Kettlelands,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Nuanta,,Luminus,Lisanos,8,Lisanos,"1,987.50",Luminus,"3,062.50",The Kingdom of Sk'o'chapr,"4,049.38",Hui Kai,"11,231.83",Nuanta,"3,475.00",Scarcojiu,"2,186.25",Ophenadon,"3,933.00",Zarkone,"3,887.50",,,,,,,,,,,,,,,"33,812.95",0.95,"32,122.30",0,1,2,8
Nuanta,Nuanta,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Kingdom of the Kettlelands,,The Free Cities of Cupiditas,Hui Kai,9,Hui Kai,"11,231.83",The Free Cities of Cupiditas,"18,141.00",High City of Tirsil,"9,718.50",Serenissima Res Publica Di Ghalivi,"8,098.75",Luminus,"3,062.50",Lisanos,"1,987.50",The Dukedom of Sylicia,"4,049.38",Hadastan Commenwealth,"8,503.69",Lună sângeroasă,"4,042.50",,,,,,,,,,,,,"68,835.64",0.95,"65,393.86",0,1,2,9
Tsûa Lâng,Tsûa Lâng,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,Nāšā Qaḏmāyā,,,7,Tavir,"3,062.50",Stryaxina,"4,006.25",Pólitonskóron,"7,896.28",Nāšā Qaḏmāyā,"3,870.00",Shiny Taking,"3,475.00",Rokmar Camp,"3,475.00",Second State of Los,"4,300.00",,,,,,,,,,,,,,,,,"30,085.03",1.05,"31,589.28",0,1,0,7
Kingdom of Nymeria ,Kingdom of Nymeria ,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kingdom of Járnfjall,,,,,9,Kingdom of Járnfjall,"5,950.00",Alapadana,"2,186.25",Republic of Nymaró,"6,468.75",The Safeguard,"4,730.00",Yayallpa,"1,987.50",,,,,,,,,,,,,,,,,,,,,"21,322.50",0.75,"15,991.88",1,0,0,5
The Al-Deni Dominion,The Al-Deni Dominion,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Kingdom of Lyroa,Kingdom of Lyroa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Lisanos,"1,987.50",Luminus,"3,062.50",Lysian Republic,"3,681.25",Zarkone,"3,887.50",Hadastan Commenwealth,"8,503.69",City State of Kido,"9,313.56",High City of Tirsil,"9,718.50",,,,,,,,,,,,,,,,,"40,154.50",1.05,"42,162.23",0,0,0,7
The Free City of the Getsa,The Free City of the Getsa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Hrvolan Qaris,Hrvolan Qaris,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Meadoia Dynasty,,Thys Alari,,7,Amethyst Clan,"2,606.25",Meadoia Dynasty,"3,710.00",Tuk Dynasty,"3,047.50",Thys Alari,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,"13,663.75",1.05,"14,346.94",0,1,1,4
Glasrhaidd,Glasrhaidd,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,Drionn Galith,"4,730.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,730.00",0.75,"3,547.50",0,0,0,1
Teōcolhua,Teōcolhua,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
The Great City of Kula,The Great City of Kula,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Sancta Discordia,Sancta Discordia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"High City of Tirsil, Snow Dominion",Maatada Istara,,Malo'Sami,The Statute of Order,6,Snow Dominion,"5,301.00",The Kingdom of Sk'o'chapr,"4,049.38",Mizarina,"2,908.75",Malo'Sami,"2,650.31",The Statute of Order,"4,462.50",Ascendant Regency of Newstar,"4,300.00",,,,,,,,,,,,,,,,,,,"23,671.94",1.05,"24,855.53",2,1,2,6
Mulosk,Mulosk,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Nummum,Nummum,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,Mizarina,"2,908.75",Ophenadon,"3,933.00",Mercati Emporium,"6,360.00",Nāšā Qaḏmāyā,"3,870.00",The Free Cities of Cupiditas,"18,141.00",,,,,,,,,,,,,,,,,,,,,"35,212.75",0.75,"26,409.56",0,0,0,5
The Kingdom of Sk'o'chapr,The Kingdom of Sk'o'chapr,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Ascendant Regency of Newstar,,The Statute of Order,,6,Hadastan Commenwealth,"8,503.69",Kingdom of the Kettlelands,"2,650.00",The Statute of Order,"4,462.50",Ascendant Regency of Newstar,"4,300.00",Sancta Discordia,"6,998.75",,,,,,,,,,,,,,,,,,,,,"26,914.94",1.05,"28,260.68",0,1,1,5
Sajuanelhi,Sajuanelhi,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,Vitten,"3,368.75",Karak Helhein,"4,785.63",Herzogtum Enzla,"4,042.50",United Federation of Malam States,"3,870.00",Adelaar Legioen,"8,508.50",Saholnahes Ceuluanas,"2,718.75",Ceridwyn Teulu,"5,053.75",The Seelern State,"4,462.50",,,,,,,,,,,,,,,"36,810.38",1.00,"36,810.38",0,0,0,8
Autoriteit Hollezel,Autoriteit Hollezel,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Novae Aeseriae,Novae Aeseriae,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The Aislings,,,,,10,The Aislings,"6,998.75",Herzogtum Enzla,"4,042.50",Kingdom of Gloria,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,,,"15,341.25",0.75,"11,505.94",1,0,0,3
Cheiraa Ousenika,Cheiraa Ousenika,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Vantira,,Natałor,Audgunn,8,Stryaxina,"4,006.25",Natałor,"2,150.00",Audgunn,"5,726.25",Mizarina,"2,908.75",,,,,,,,,,,,,,,,,,,,,,,"14,791.25",0.95,"14,051.69",0,1,2,4
The State of Iskura,The State of Iskura,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Ruzgaristan Enclave, Mébian Confederation",Lepnia,Clan of Skye ,,,9,The Ruzgaristan Enclave,"5,442.50",Mébian Confederation,"4,300.00",Tuk Dynasty,"3,047.50",Krosen Dynasty,"3,047.50",Clan of Skye ,"7,387.50",,,,,,,,,,,,,,,,,,,,,"23,225.00",0.75,"17,418.75",2,2,0,5
Mizarina,Mizarina,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,Mercati Emporium,"6,360.00",The Amerian Republic,"8,466.88",Akali,"5,078.91",Vantira,"6,125.00",Nāšā Qaḏmāyā,"3,870.00",Scientarium,"13,156.00",Cheiraa Ousenika,"1,150.00",The Trade Families of Kemakmura,"12,369.00",Nummum,"11,853.63",Hui Kai,,,,,,,,,,,,"68,429.41",0.75,"51,322.05",0,0,0,9
Zarkone,Zarkone,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,Lisanos,"1,987.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,987.50",1.00,"1,987.50",0,0,0,1
State of Aburrido,State of Aburrido,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Kingdom of the Aurore,,7,Kingdom of the Aurore,"6,370.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,370.00",1.00,"6,370.00",0,0,1,1
Cóchua Kingdom,Cóchua Kingdom,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Lepnia,,,,5,Yayallpa,"1,987.50",Thys Alari,"4,300.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,287.50",1.00,"6,287.50",0,1,0,2
Herzogtum Enzla,Herzogtum Enzla,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Holy Kingdom of Scripts,The Teutā Erwā,10,Novae Aeseriae,"4,300.00",Holy Kingdom of Scripts,"4,166.25",The Gilded City,"4,709.38",The Aislings,"6,998.75",Visjido,"4,300.00",Sajuanelhi,"9,603.75",Svetograd,"5,160.00",The Teutā Erwā,"2,958.05",,,,,,,,,,,,,,,"42,196.17",0.75,"31,647.13",0,0,2,8
Zudrye Sisterhood,Zudrye Sisterhood,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Nuvoria,Nuvoria,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Steppeheart Herd,Steppeheart Herd,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Stortingr Republik af Frystdömet,Stortingr Republik af Frystdömet,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Kaug-Pohja,,,Kaug-Põhja,Principality of Skanderborg,8,The Awakened,"4,462.50",Kaug-Põhja,"2,650.00",Remid Republic,"11,728.75",Carcukhanate,"5,950.00",Principality of Skanderborg,"6,221.31",The House,"4,152.50",Tautaspils,"2,782.50",,,,,,,,,,,,,,,,,"37,947.56",0.95,"36,050.18",1,0,2,7
Nāšā Qaḏmāyā,Nāšā Qaḏmāyā,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Tsûa Lâng,,Tavir,Zengovar [AI],9,Tavir,"3,062.50",Hadastan Commenwealth,"8,503.69",Adelaar Legioen,"8,508.50",The Second Temple,"4,821.88",Nummum,"11,853.63",Rosefire Dynasty,"3,284.38",Mizarina,"2,908.75",Tsûa Lâng,"6,998.75",Rosefire Dynasty,"3,284.38",,,,,,,,,,,,,"53,226.44",0.95,"50,565.12",0,1,2,9
The Seelern State,The Seelern State,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Drionn Galith,,,,6,Drionn Galith,"4,730.00",The Sacred Band of Sargon,"1,000.00",Adelaar Legioen,"8,508.50",Ceridwyn Teulu,"5,053.75",,,,,,,,,,,,,,,,,,,,,,,"19,292.25",1.05,"20,256.86",0,1,0,4
Audgunn,Audgunn,,"435,669.72","192,902.19",225.85%,"213,630.31","87,408.75",244.40%,94.05%,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Tuk Dynasty,,,,6,Amethyst Clan,"2,606.25",Stryaxina,"4,006.25",Tuk Dynasty,"3,047.50",Meadoia Dynasty,"3,710.00",Republic of Nymaró,"6,468.75",The Trade Families of Kemakmura,"12,369.00",,,,,,,,,,,,,,,,,,,"32,207.75",1.25,"40,259.69",0,1,0,6
The Tribes of C’tis,The Tribes of C’tis,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Lauzydos, Xiboda, Erub-Kai, The Grand City of Smmeíaia",,,The Grand City of Smmeíaia,,4,Lauzydos,"4,730.00",Xiboda,"8,098.75",Elyen-Mev,"4,450.00",The Grand City of Smmeíaia,"5,153.75",,,,,,,,,,,,,,,,,,,,,,,"22,432.50",1.00,"22,432.50",4,0,1,4
The Sacred Band of Sargon,The Sacred Band of Sargon,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,The Seelern State,"4,462.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,462.50",0.75,"3,346.88",0,0,0,1
The Safeguard,The Safeguard,Audgunn,,,,,,,,Standard,1.00,102.52%,102.52%,94.05%,20.97%,0.00%,-5.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Audgunn,Verdandi,,,,,,8,Commonwealth of Gonaria,"4,042.50",The Kingdom of Hemia,"2,790.00",Kingdom of Nymeria ,"3,368.75",Krosen Dynasty,"3,047.50",,,,,,,,,,,,,,,,,,,,,,,"13,248.75",1.05,"13,911.19",0,0,0,4
Ophenadon,Ophenadon,The Free Cities of Cupiditas,,,,,,,,Autonomous,0.25,0.00%,-30.07%,5.96%,5.96%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Avaritia,The Book of Opes,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Ceridwyn Teulu,Ceridwyn Teulu,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Vitten,Dinasygan,,,8,Svetograd,"5,160.00",Sajuanelhi,"9,603.75",Dinasygan,"3,831.25",United Federation of Malam States,"3,870.00",Vitten,"3,368.75",Adelaar Legioen,"8,508.50",The Seelern State,"4,462.50",Akali,"5,078.91",,,,,,,,,,,,,,,"43,883.66",1.00,"43,883.66",0,2,0,8
The Grand City of Smmeíaia,The Grand City of Smmeíaia,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,The tribes of C'tis,,,The Tribes of C’tis,,10,The Tribes of C’tis,"3,062.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,062.50",0.95,"2,909.38",1,0,1,1
Visjido,Visjido,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Stryaxina,,,Vantira,,9,Stryaxina,"4,006.25",Herzogtum Enzla,"4,042.50",Commonwealth of Gonaria,"4,042.50",Vantira,"6,125.00",,,,,,,,,,,,,,,,,,,,,,,"18,216.25",0.95,"17,305.44",1,0,1,4
Etolian Πολιτεία,Etolian Πολιτεία,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Enushkan Ur Kaash'shum,Enushkan Ur Kaash'shum,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Bork,Bork,Here Be Dragons,,,,,,,,Standard,1.00,0.00%,-18.70%,5.49%,0.81%,0.00%,-5.00%,,,Both,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Sárkányos,Draconism,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.75,0.00,0,0,0,0
Yayallpa,Yayallpa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Saulka,Kingdom of Járnfjall,Poloma,Alapadana,8,Kingdom of Járnfjall,"5,950.00",Poloma,"2,186.25",Cóchua Kingdom,"3,887.50",Kingdom of Nymeria ,"3,368.75",,,,,,,,,,,,,,,,,,,,,,,"15,392.50",0.95,"14,622.88",0,2,2,4
Eskannwa,Eskannwa,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Gul-Kesh,Gul-Kesh,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Alapadana,Alapadana,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Holy Realm of Herkunft,Poloma,Saulka,Yayallpa,8,Magoen Lurraldea,"2,150.00",Kingdom of Járnfjall,"5,950.00",The State of Iskura,"4,049.38",Grand Nimbusia,"4,515.00",Thys Alari,"4,300.00",Kingdom of Aeornia,"5,264.19",Lepnia,"3,655.00",Kingdom of Nymeria ,"3,368.75",,,,,,,,,,,,,,,"33,252.31",0.95,"31,589.70",0,2,2,8
Kup,Kup,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Malekate of Opolexion,Malekate of Opolexion,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,Republic of Alyvosk,,Free City of Erub-Kai,The Jokers,,6,Araybattahya ,"3,475.00",Akaḣpetoƞ,"6,981.25",The Republic of Alyvosk,"6,704.50",The Jokers,"2,252.50",Free City of Erub-Kai,"8,098.75",Pyhätmetsät,"3,062.50",,,,,,,,,,,,,,,,,,,"30,574.50",1.05,"32,103.23",1,1,1,6
Poloma,Poloma,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Saulka,Alapadana,Grand Nimbusia,Yayallpa,5,Grand Nimbusia,"4,515.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,515.00",1.05,"4,740.75",0,2,2,1
Adelaar Legioen,Adelaar Legioen,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,11,Svetograd,"5,160.00",Sajuanelhi,"9,603.75",Vitten,"3,368.75",Ceridwyn Teulu,"5,053.75",Kantons Oranje,"2,000.00",The Seelern State,"4,462.50",Kingdom of Gallacia,"5,652.50",Republic o. Zuntirar,"9,933.00",Dinasygan,"3,831.25",Saholnahes Ceuluanas,"2,718.75",Nāšā Qaḏmāyā,"3,870.00",,,,,,,,,"55,654.25",0.95,"52,871.54",0,0,0,11
Pucanje,Pucanje,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,The Gilded City,Holy Council of Axhaea,Zastita,,6,The Jokers,"2,252.50",Zastita,"2,800.00",Jahanje,"2,650.00",Hanza Trade Republic,"8,758.75",The House,"4,152.50",,,,,,,,,,,,,,,,,,,,,"20,613.75",1.05,"21,644.44",0,2,1,5
The Galdu Ipar Republic,The Galdu Ipar Republic,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.05,0.00,0,0,0,0
The Tsyurin State,The Tsyurin State,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Scarcojiu,Scarcojiu,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,Lună sângeroasă,,8,Akalikania,"3,368.75",Kingdom of the Kettlelands,"2,650.00",Ashdayn,"4,300.00",Lohiida Dathinaal,"2,650.00",Council of Dehurkjols,"3,537.19",,,,,,,,,,,,,,,,,,,,,"16,505.94",0.95,"15,680.64",0,0,1,5
Zastita,Zastita,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,"Free City of Erub-Kai, Frystdomet",,,Pucanje,The House,8,Free City of Erub-Kai,"8,098.75",Imperial Theocracy of Borbenska,"2,100.00",Pucanje,"4,637.50",Jahanje,"2,650.00",The House,"4,152.50",Principality of Skanderborg,"6,221.31",The Republic of Alyvosk,"6,704.50",,,,,,,,,,,,,,,,,"34,564.56",0.95,"32,836.33",2,0,2,7
Mardune,Mardune,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.95,0.00,0,0,0,0
Jahanje,Jahanje,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,6,Zastita,"2,800.00",Pucanje,"4,637.50",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,437.50",1.05,"7,809.38",0,0,0,2
